,fips,county,st,pred_diff
12247,18137,Ripley,IN,3.0
12263,18139,Rush,IN,4.4
12279,18141,St Joseph,IN,-2.6
12295,18143,Scott,IN,4.8
12311,18145,Shelby,IN,3.2
12327,18147,Spencer,IN,-1.6
12343,18149,Starke,IN,3.2
12359,18151,Steuben,IN,1.2
12375,18153,Sullivan,IN,4.0
12391,18155,Switzerland,IN,8.6
12407,18157,Tippecanoe,IN,-0.6
12423,18159,Tipton,IN,9.6
12439,18161,Union,IN,4.6
12455,18163,Vanderburgh,IN,5.0
12471,18165,Vermillion,IN,1.6
12487,18167,Vigo,IN,6.4
12503,18169,Wabash,IN,4.0
12519,18171,Warren,IN,1.6
12535,18173,Warrick,IN,-5.8
12551,18175,Washington,IN,-0.2
12567,18177,Wayne,IN,5.0
12583,18179,Wells,IN,-4.0
12599,18181,White,IN,1.4
12615,18183,Whitley,IN,0.2
12631,19001,Adair,IA,-1.8
12647,19003,Adams,IA,2.8
12663,19005,Allamakee,IA,-5.8
12679,19007,Appanoose,IA,5.0
12695,19009,Audubon,IA,-12.6
12711,19011,Benton,IA,-5.4
12727,19013,Black Hawk,IA,-4.6
12743,19015,Boone,IA,-6.6
12759,19017,Bremer,IA,2.2
12775,19019,Buchanan,IA,-1.0
12791,19021,Buena Vista,IA,-0.8
12807,19023,Butler,IA,-4.8
12823,19025,Calhoun,IA,-1.6
12839,19027,Carroll,IA,-0.2
12855,19029,Cass,IA,0.8
12871,19031,Cedar,IA,-2.6
12887,19033,Cerro Gordo,IA,-4.2
12903,19035,Cherokee,IA,-3.8
12919,19037,Chickasaw,IA,0.0
12935,19039,Clarke,IA,-0.6
12951,19041,Clay,IA,-7.8
12967,19043,Clayton,IA,-1.8
12983,19045,Clinton,IA,-2.0
12999,19047,Crawford,IA,-1.8
13015,19049,Dallas,IA,-2.8
13031,19051,Davis,IA,-2.0
13047,19053,Decatur,IA,0.0
13063,19055,Delaware,IA,-4.8
13079,19057,Des Moines,IA,-0.4
13095,19059,Dickinson,IA,-1.6
13111,19061,Dubuque,IA,0.2
13127,19063,Emmet,IA,-3.0
13143,19065,Fayette,IA,-5.4
13159,19067,Floyd,IA,-3.0
13175,19069,Franklin,IA,-3.8
13191,19071,Fremont,IA,-1.4
13207,19073,Greene,IA,-0.8
13223,19075,Grundy,IA,-7.6
13239,19077,Guthrie,IA,-2.8
13255,19079,Hamilton,IA,-6.2
13271,19081,Hancock,IA,-4.4
13287,19083,Hardin,IA,-1.8
13303,19085,Harrison,IA,3.0
13319,19087,Henry,IA,-2.6
13335,19089,Howard,IA,-2.4
13351,19091,Humboldt,IA,-1.0
13367,19095,Iowa,IA,-1.2
13383,19097,Jackson,IA,2.0
13399,19099,Jasper,IA,-1.4
13415,19101,Jefferson,IA,0.8
13431,19103,Johnson,IA,-1.4
13447,19105,Jones,IA,-4.8
13463,19107,Keokuk,IA,1.4
13479,19109,Kossuth,IA,-4.8
13495,19111,Lee,IA,2.8
13511,19113,Linn,IA,-2.2
13527,19115,Louisa,IA,1.6
13543,19117,Lucas,IA,1.2
13559,19119,Lyon,IA,-3.2
13575,19121,Madison,IA,-5.8
13591,19123,Mahaska,IA,0.0
13607,19125,Marion,IA,-1.0
13623,19127,Marshall,IA,-5.8
13639,19129,Mills,IA,-0.4
13655,19131,Mitchell,IA,-0.8
13671,19133,Monona,IA,4.6
13687,19135,Monroe,IA,0.6
13703,19137,Montgomery,IA,8.8
13719,19139,Muscatine,IA,-5.2
13735,19141,O'Brien,IA,-6.4
13751,19143,Osceola,IA,-2.6
13767,19145,Page,IA,-4.0
13783,19147,Palo Alto,IA,-1.8
13799,19149,Plymouth,IA,-2.6
13815,19151,Pocahontas,IA,-6.8
13831,19153,Polk,IA,-1.8
13847,19155,Pottawattamie,IA,-4.2
13863,19157,Poweshiek,IA,-3.4
13879,19159,Ringgold,IA,-0.2
13895,19161,Sac,IA,1.2
13911,19163,Scott,IA,0.8
13927,19165,Shelby,IA,1.0
13943,19167,Sioux,IA,-4.2
13959,19169,Story,IA,-8.4
13975,19173,Taylor,IA,-3.4
13991,19175,Union,IA,-0.4
14007,19177,Van Buren,IA,-1.8
14023,19179,Wapello,IA,-0.2
14039,19181,Warren,IA,-4.2
14055,19183,Washington,IA,1.4
14071,19185,Wayne,IA,0.8
14087,19187,Webster,IA,1.2
14103,19189,Winnebago,IA,2.0
14119,19191,Winneshiek,IA,1.0
14135,19193,Woodbury,IA,4.0
14151,19195,Worth,IA,0.6
14167,19197,Wright,IA,-2.2
14183,20001,Allen,KS,8.6
14199,20003,Anderson,KS,5.0
14215,20005,Atchison,KS,-1.4
14231,20007,Barber,KS,2.6
14247,20009,Barton,KS,-3.4
14263,20011,Bourbon,KS,1.4
14279,20013,Brown,KS,5.2
14295,20015,Butler,KS,1.0
14311,20017,Chase,KS,-12.0
14327,20019,Chautauqua,KS,3.6
14343,20021,Cherokee,KS,-3.6
14359,20023,Cheyenne,KS,-3.4
14375,20025,Clark,KS,-6.6
14391,20027,Clay,KS,7.2
14407,20029,Cloud,KS,-0.8
14423,20031,Coffey,KS,0.2
14439,20033,Comanche,KS,-3.0
14455,20035,Cowley,KS,2.2
14471,20037,Crawford,KS,3.8
14487,20039,Decatur,KS,-3.2
14503,20041,Dickinson,KS,-11.2
14519,20043,Doniphan,KS,-1.6
14535,20045,Douglas,KS,0.8
14551,20047,Edwards,KS,-6.4
14567,20049,Elk,KS,4.4
14583,20051,Ellis,KS,-3.4
14599,20053,Ellsworth,KS,3.0
14615,20055,Finney,KS,-4.8
14631,20057,Ford,KS,-6.6
14647,20059,Franklin,KS,1.2
14663,20061,Geary,KS,1.8
14679,20063,Gove,KS,-4.2
14695,20065,Graham,KS,0.2
14711,20067,Grant,KS,-8.0
14727,20069,Gray,KS,-4.4
14743,20071,Greeley,KS,0.4
14759,20073,Greenwood,KS,6.8
14775,20075,Hamilton,KS,-1.6
14791,20077,Harper,KS,7.6
14807,20079,Harvey,KS,-5.8
14823,20081,Haskell,KS,-7.6
14839,20083,Hodgeman,KS,-15.6
14855,20085,Jackson,KS,-6.4
14871,20087,Jefferson,KS,-3.4
14887,20089,Jewell,KS,-1.4
14903,20091,Johnson,KS,0.8
14919,20093,Kearny,KS,-11.0
14935,20095,Kingman,KS,-3.2
14951,20097,Kiowa,KS,2.4
14967,20099,Labette,KS,-2.6
14983,20101,Lane,KS,-6.6
14999,20103,Leavenworth,KS,-2.6
15015,20105,Lincoln,KS,-1.8
15031,20107,Linn,KS,-3.8
15032,39141,Ross,OH,8.8
15063,20109,Logan,KS,3.2
15079,20111,Lyon,KS,-4.0
15095,20113,Mcpherson,KS,-1.0
15111,20115,Marion,KS,1.0
15127,20117,Marshall,KS,-2.2
15143,20119,Meade,KS,-11.2
15159,20121,Miami,KS,-1.4
15175,20123,Mitchell,KS,1.8
15191,20125,Montgomery,KS,8.4
15207,20127,Morris,KS,-3.0
15223,20129,Morton,KS,-7.2
15239,20131,Nemaha,KS,-5.6
15255,20133,Neosho,KS,-1.8
15271,20135,Ness,KS,-5.4
15287,20137,Norton,KS,-10.6
15303,20139,Osage,KS,0.2
15319,20141,Osborne,KS,-1.2
15335,20143,Ottawa,KS,-3.6
15351,20145,Pawnee,KS,0.0
15367,20147,Phillips,KS,-13.8
15383,20149,Pottawatomie,KS,0.0
15399,20151,Pratt,KS,-2.4
15415,20153,Rawlins,KS,-6.6
15431,20155,Reno,KS,-2.8
15447,20157,Republic,KS,-0.2
15463,20159,Rice,KS,3.6
15479,20161,Riley,KS,-5.8
15495,20163,Rooks,KS,-2.0
15511,20165,Rush,KS,2.8
15527,20167,Russell,KS,1.8
15543,20169,Saline,KS,0.6
15559,20171,Scott,KS,-10.4
15575,20173,Sedgwick,KS,-1.2
15591,20175,Seward,KS,-2.8
15607,20177,Shawnee,KS,2.6
15623,20179,Sheridan,KS,-5.8
15639,20181,Sherman,KS,3.6
15655,20183,Smith,KS,-3.0
15671,20185,Stafford,KS,1.6
15687,20187,Stanton,KS,-11.4
15703,20189,Stevens,KS,-7.0
15719,20191,Sumner,KS,6.6
15735,20193,Thomas,KS,-2.6
15751,20195,Trego,KS,1.0
15767,20197,Wabaunsee,KS,0.8
15783,20199,Wallace,KS,-9.6
15799,20201,Washington,KS,-1.8
15815,20203,Wichita,KS,-7.6
15831,20205,Wilson,KS,6.2
15847,20207,Woodson,KS,10.4
15863,20209,Wyandotte,KS,-3.0
15879,21001,Adair,KY,6.0
15895,21003,Allen,KY,7.8
15911,21005,Anderson,KY,10.4
15927,21007,Ballard,KY,4.8
15943,21009,Barren,KY,1.2
15959,21011,Bath,KY,10.0
15975,21013,Bell,KY,4.8
15991,21015,Boone,KY,4.0
16007,21017,Bourbon,KY,8.2
16023,21019,Boyd,KY,7.2
16039,21021,Boyle,KY,0.8
16055,21023,Bracken,KY,1.8
16071,21025,Breathitt,KY,2.4
16087,21027,Breckinridge,KY,5.8
16103,21029,Bullitt,KY,1.0
16119,21031,Butler,KY,10.6
16135,21033,Caldwell,KY,7.4
16151,21035,Calloway,KY,2.4
16167,21037,Campbell,KY,8.8
16183,21039,Carlisle,KY,5.8
16199,21041,Carroll,KY,6.0
16215,21043,Carter,KY,11.6
16231,21045,Casey,KY,4.0
16247,21047,Christian,KY,-3.6
16263,48103,Crane,TX,-2.4
16279,21049,Clark,KY,8.6
16295,21051,Clay,KY,2.8
16311,21053,Clinton,KY,0.2
16327,21055,Crittenden,KY,2.6
16343,21057,Cumberland,KY,10.2
16359,21059,Daviess,KY,5.2
16375,21061,Edmonson,KY,8.4
16391,21063,Elliott,KY,9.4
16407,21065,Estill,KY,7.8
16423,21067,Fayette,KY,2.0
16439,21069,Fleming,KY,10.8
16455,21071,Floyd,KY,2.4
16471,21073,Franklin,KY,-0.4
16487,21075,Fulton,KY,6.4
16503,21077,Gallatin,KY,7.2
16519,21079,Garrard,KY,7.2
16535,21081,Grant,KY,12.4
16551,21083,Graves,KY,2.6
16567,21085,Grayson,KY,11.0
16583,21087,Green,KY,7.8
16599,21089,Greenup,KY,9.2
16615,21091,Hancock,KY,-3.4
16631,21093,Hardin,KY,0.2
16647,21095,Harlan,KY,10.8
16663,21097,Harrison,KY,8.0
16679,21099,Hart,KY,7.2
16695,21101,Henderson,KY,-0.2
16711,21103,Henry,KY,4.6
16727,21105,Hickman,KY,8.6
16743,21107,Hopkins,KY,-0.4
16759,21109,Jackson,KY,10.0
16775,21111,Jefferson,KY,0.6
16791,21113,Jessamine,KY,12.2
16807,21115,Johnson,KY,5.4
16823,21117,Kenton,KY,5.8
16824,49021,Iron,UT,7.6
16855,21119,Knott,KY,11.0
16871,21121,Knox,KY,8.6
16887,21123,Larue,KY,1.0
16903,21125,Laurel,KY,4.8
16919,21127,Lawrence,KY,7.2
16935,21129,Lee,KY,9.2
16951,21131,Leslie,KY,0.8
16967,21133,Letcher,KY,11.6
16983,21135,Lewis,KY,10.2
16999,21137,Lincoln,KY,5.6
17015,21139,Livingston,KY,5.4
17031,21141,Logan,KY,3.8
17047,21143,Lyon,KY,6.2
17063,21145,Mccracken,KY,5.2
17079,21147,Mccreary,KY,9.4
17095,21149,Mclean,KY,9.2
17111,21151,Madison,KY,3.6
17127,21153,Magoffin,KY,5.2
17143,21155,Marion,KY,3.4
17159,21157,Marshall,KY,9.4
17175,21159,Martin,KY,10.6
17191,21161,Mason,KY,8.4
17207,21163,Meade,KY,-2.4
17223,21165,Menifee,KY,12.8
17239,21167,Mercer,KY,10.2
17255,21169,Metcalfe,KY,5.8
17271,21171,Monroe,KY,6.4
17287,21173,Montgomery,KY,4.4
17303,21175,Morgan,KY,9.8
17319,21177,Muhlenberg,KY,8.8
17335,21179,Nelson,KY,-3.0
17351,49023,Juab,UT,10.0
17367,21181,Nicholas,KY,9.4
17383,21183,Ohio,KY,5.8
17399,21185,Oldham,KY,-5.6
17415,21187,Owen,KY,13.8
17447,21191,Pendleton,KY,10.4
17463,21193,Perry,KY,6.0
17479,21195,Pike,KY,8.8
17495,21197,Powell,KY,7.2
17511,21199,Pulaski,KY,6.4
17543,21203,Rockcastle,KY,5.0
17559,21205,Rowan,KY,8.8
17575,21207,Russell,KY,9.2
17591,21209,Scott,KY,-1.8
17607,21211,Shelby,KY,-6.2
17623,21213,Simpson,KY,5.6
17639,21215,Spencer,KY,2.0
17655,21217,Taylor,KY,10.8
17671,21219,Todd,KY,6.2
17687,21221,Trigg,KY,5.0
17703,21223,Trimble,KY,7.8
17719,21225,Union,KY,5.6
17735,21227,Warren,KY,-2.6
17751,21229,Washington,KY,5.2
17767,21231,Wayne,KY,5.2
17783,21233,Webster,KY,11.2
17799,21235,Whitley,KY,6.8
17815,21237,Wolfe,KY,8.0
17831,21239,Woodford,KY,12.4
17847,22001,Acadia,LA,14.8
17863,22003,Allen,LA,0.2
17879,22005,Ascension,LA,-2.2
17895,22007,Assumption,LA,0.0
17911,22009,Avoyelles,LA,-1.0
17927,22011,Beauregard,LA,6.6
17943,22013,Bienville,LA,1.8
17959,22015,Bossier,LA,1.2
17975,22017,Caddo,LA,1.8
17991,22019,Calcasieu,LA,6.2
18007,22021,Caldwell,LA,5.6
18023,22023,Cameron,LA,5.8
18039,22025,Catahoula,LA,11.0
18055,22027,Claiborne,LA,0.0
18071,22029,Concordia,LA,2.0
18087,22031,De Soto,LA,3.2
18103,22033,East Baton Rouge,LA,-4.8
18119,22035,East Carroll,LA,-1.6
18135,22037,East Feliciana,LA,0.8
18151,22039,Evangeline,LA,0.0
18167,22041,Franklin,LA,-4.6
18183,22043,Grant,LA,0.0
18199,22045,Iberia,LA,0.6
18215,22047,Iberville,LA,-4.0
18231,22049,Jackson,LA,-2.2
18247,22051,Jefferson,LA,2.2
18263,22053,Jefferson Davis,LA,1.6
18279,22055,Lafayette,LA,1.8
18295,22057,Lafourche,LA,3.8
18311,22059,La Salle,LA,5.0
18327,22061,Lincoln,LA,0.0
18343,22063,Livingston,LA,7.6
18359,22065,Madison,LA,-1.6
18375,22067,Morehouse,LA,-4.4
18391,22069,Natchitoches,LA,-1.2
18407,22071,Orleans,LA,-1.8
18423,22073,Ouachita,LA,-0.8
18439,22075,Plaquemines,LA,11.0
18455,22077,Pointe Coupee,LA,4.4
18471,22079,Rapides,LA,0.0
18487,22081,Red River,LA,-3.2
18503,22083,Richland,LA,-5.8
18519,22085,Sabine,LA,-2.2
18535,22087,St Bernard,LA,6.0
18551,22089,St Charles,LA,8.0
18567,22091,St Helena,LA,11.4
18583,22093,St James,LA,-6.8
18599,22095,St John The Baptist,LA,-4.8
18615,22097,St Landry,LA,5.6
18631,22099,St Martin,LA,0.8
18647,22101,St Mary,LA,4.6
18663,22103,St Tammany,LA,4.4
18679,22105,Tangipahoa,LA,8.0
18695,22107,Tensas,LA,2.8
18711,22109,Terrebonne,LA,1.2
18727,22111,Union,LA,2.6
18743,22113,Vermilion,LA,2.4
18759,22115,Vernon,LA,-6.4
18775,22117,Washington,LA,12.0
18791,22119,Webster,LA,6.2
18807,22121,West Baton Rouge,LA,8.4
18823,22123,West Carroll,LA,2.0
18839,22125,West Feliciana,LA,0.4
18855,22127,Winn,LA,7.6
18871,23001,Androscoggin,ME,-0.8
18887,23003,Aroostook,ME,-2.8
18903,23005,Cumberland,ME,0.8
18919,23007,Franklin,ME,-2.2
18935,23009,Hancock,ME,-0.4
18951,23011,Kennebec,ME,-0.6
18967,23013,Knox,ME,5.0
18983,23015,Lincoln,ME,-0.2
18999,23017,Oxford,ME,-1.0
19015,23019,Penobscot,ME,1.8
19031,23021,Piscataquis,ME,3.4
19047,23023,Sagadahoc,ME,-0.2
19063,23025,Somerset,ME,-0.4
19079,23027,Waldo,ME,-0.2
19095,23029,Washington,ME,8.2
19111,23031,York,ME,0.4
19127,24001,Allegany,MD,7.2
19143,24003,Anne Arundel,MD,5.4
19159,24005,Baltimore,MD,2.0
19175,24009,Calvert,MD,5.2
19191,24011,Caroline,MD,5.6
19207,24013,Carroll,MD,5.6
19223,24015,Cecil,MD,9.2
19239,24017,Charles,MD,0.0
19255,24019,Dorchester,MD,5.2
19271,24021,Frederick,MD,-2.2
19287,24023,Garrett,MD,0.0
19303,24025,Harford,MD,5.6
19319,24027,Howard,MD,-1.4
19335,24029,Kent,MD,-2.4
19351,24031,Montgomery,MD,-3.6
19367,24033,Prince George'S,MD,-2.0
19383,24035,Queen Anne'S,MD,5.4
19399,24037,St Mary'S,MD,-3.0
19415,24039,Somerset,MD,7.4
19431,24041,Talbot,MD,-3.0
19447,24043,Washington,MD,3.0
19463,24045,Wicomico,MD,5.6
19479,24047,Worcester,MD,5.0
19495,24510,Baltimore City,MD,5.6
19511,25001,Barnstable,MA,12.2
19527,25003,Berkshire,MA,5.8
19543,25005,Bristol,MA,7.8
19559,25007,Dukes,MA,7.0
19575,25009,Essex,MA,3.2
19591,25011,Franklin,MA,2.0
19607,25013,Hampden,MA,5.2
19623,25015,Hampshire,MA,1.8
19639,25017,Middlesex,MA,2.6
19655,25019,Nantucket,MA,5.0
19671,25021,Norfolk,MA,0.4
19687,25023,Plymouth,MA,4.8
19703,25025,Suffolk,MA,4.8
19719,25027,Worcester,MA,3.4
19735,26001,Alcona,MI,0.2
19751,26003,Alger,MI,10.4
19767,26005,Allegan,MI,-2.2
19783,26007,Alpena,MI,-0.8
19799,26009,Antrim,MI,1.2
19815,26011,Arenac,MI,-3.6
19831,26013,Baraga,MI,-0.2
19847,26015,Barry,MI,-2.0
19863,26017,Bay,MI,2.8
19879,26019,Benzie,MI,-5.6
19895,26021,Berrien,MI,2.8
19911,26023,Branch,MI,-1.6
19927,26025,Calhoun,MI,5.0
19943,26027,Cass,MI,1.0
19959,26029,Charlevoix,MI,-0.4
19975,26031,Cheboygan,MI,3.6
19991,26033,Chippewa,MI,-1.2
20007,26035,Clare,MI,8.2
20023,26037,Clinton,MI,-2.8
20039,26039,Crawford,MI,3.0
20055,26041,Delta,MI,-6.8
20071,26043,Dickinson,MI,-0.6
20087,26045,Eaton,MI,-7.4
20103,26047,Emmet,MI,-6.4
20119,26049,Genesee,MI,2.8
20135,26051,Gladwin,MI,8.2
20151,26053,Gogebic,MI,2.0
20167,26055,Grand Traverse,MI,-0.4
20183,26057,Gratiot,MI,-2.8
20199,26059,Hillsdale,MI,1.2
20215,26061,Houghton,MI,-4.4
20231,26063,Huron,MI,-2.8
20247,26065,Ingham,MI,1.2
20263,26067,Ionia,MI,-2.0
20279,26069,Iosco,MI,3.6
20295,26071,Iron,MI,-2.4
20311,26073,Isabella,MI,-2.8
20327,26075,Jackson,MI,-2.6
20343,26077,Kalamazoo,MI,1.6
20359,26079,Kalkaska,MI,-1.8
20375,26081,Kent,MI,-4.2
20391,26083,Keweenaw,MI,-1.2
20407,26085,Lake,MI,1.0
20423,26087,Lapeer,MI,-2.0
20439,26089,Leelanau,MI,-4.6
20455,26091,Lenawee,MI,-8.0
20471,26093,Livingston,MI,2.6
20487,26095,Luce,MI,-1.0
20503,26097,Mackinac,MI,-5.2
20519,26099,Macomb,MI,1.8
20535,26101,Manistee,MI,3.6
20551,26103,Marquette,MI,0.2
20567,26105,Mason,MI,-1.2
20583,26107,Mecosta,MI,-1.0
20599,26109,Menominee,MI,-3.0
20615,26111,Midland,MI,0.4
20631,26113,Missaukee,MI,5.2
20647,26115,Monroe,MI,1.6
20663,26117,Montcalm,MI,-2.6
20679,26119,Montmorency,MI,6.0
20695,26121,Muskegon,MI,-0.4
20711,26123,Newaygo,MI,-5.4
20727,26125,Oakland,MI,0.0
20743,26127,Oceana,MI,3.6
20759,26129,Ogemaw,MI,-1.8
20775,26131,Ontonagon,MI,6.0
20791,26133,Osceola,MI,-4.8
20807,26135,Oscoda,MI,5.8
20823,26137,Otsego,MI,4.0
20839,26139,Ottawa,MI,-4.4
20855,26141,Presque Isle,MI,5.8
20871,26143,Roscommon,MI,7.2
20887,26145,Saginaw,MI,0.2
20903,26147,St Clair,MI,2.6
20919,26149,St Joseph,MI,1.4
20935,26151,Sanilac,MI,-2.4
20951,26153,Schoolcraft,MI,3.8
20967,26155,Shiawassee,MI,6.0
20983,26157,Tuscola,MI,-4.2
20999,26159,Van Buren,MI,-0.2
21015,26161,Washtenaw,MI,-2.6
21031,26163,Wayne,MI,7.4
21047,26165,Wexford,MI,-0.6
21063,27001,Aitkin,MN,4.2
21079,27003,Anoka,MN,-2.4
21095,27005,Becker,MN,-0.6
21111,27007,Beltrami,MN,0.0
21127,27009,Benton,MN,-2.2
21143,27011,Big Stone,MN,10.6
21159,27013,Blue Earth,MN,-4.8
21175,27015,Brown,MN,-5.2
21191,27017,Carlton,MN,-1.2
21207,27019,Carver,MN,-10.0
21223,27021,Cass,MN,6.2
21239,27023,Chippewa,MN,1.8
21255,27025,Chisago,MN,-3.6
21271,27027,Clay,MN,0.6
21287,27029,Clearwater,MN,0.2
21303,27031,Cook,MN,-4.8
21319,27033,Cottonwood,MN,2.2
21335,27035,Crow Wing,MN,0.4
21351,27037,Dakota,MN,-1.8
21367,27039,Dodge,MN,-6.0
21383,27041,Douglas,MN,-0.6
21399,27043,Faribault,MN,1.0
21415,27045,Fillmore,MN,-0.2
21431,27047,Freeborn,MN,-0.6
21447,27049,Goodhue,MN,-4.4
21463,27051,Grant,MN,-0.6
21479,27053,Hennepin,MN,-1.4
21495,27055,Houston,MN,-0.8
21511,27057,Hubbard,MN,1.2
21527,27059,Isanti,MN,-1.0
21543,27061,Itasca,MN,-4.2
21559,27063,Jackson,MN,1.0
21575,27065,Kanabec,MN,-6.8
21591,27067,Kandiyohi,MN,-5.0
21607,27069,Kittson,MN,-4.6
21623,27071,Koochiching,MN,2.8
21639,27073,Lac Qui Parle,MN,-0.4
21655,27075,Lake,MN,2.4
21671,27077,Lake Of The Woods,MN,-0.4
21687,27079,Le Sueur,MN,-1.2
21703,27081,Lincoln,MN,7.0
21719,27083,Lyon,MN,0.4
21735,27085,Mcleod,MN,0.8
21751,27087,Mahnomen,MN,11.0
21767,27089,Marshall,MN,-2.2
21783,27091,Martin,MN,-1.4
21799,27093,Meeker,MN,-3.8
21815,27095,Mille Lacs,MN,-1.0
21831,27097,Morrison,MN,-5.8
21847,27099,Mower,MN,-8.0
21863,27101,Murray,MN,-4.2
21879,27103,Nicollet,MN,-0.4
21895,27105,Nobles,MN,-2.0
21911,27107,Norman,MN,-1.0
21927,27109,Olmsted,MN,-8.4
21943,27111,Otter Tail,MN,-4.2
21959,27113,Pennington,MN,3.2
21975,27115,Pine,MN,-2.2
21991,27117,Pipestone,MN,-0.6
22007,27119,Polk,MN,0.8
22023,27121,Pope,MN,0.4
22039,27123,Ramsey,MN,-1.6
22055,27125,Red Lake,MN,-10.2
22071,27127,Redwood,MN,-0.8
22087,27129,Renville,MN,-0.4
22103,27131,Rice,MN,-3.8
22119,27133,Rock,MN,0.0
22135,27135,Roseau,MN,-1.8
22151,27137,St Louis,MN,-0.8
22167,27139,Scott,MN,-7.6
22183,27141,Sherburne,MN,-2.8
22199,27143,Sibley,MN,-1.0
22215,27145,Stearns,MN,-4.2
22231,27147,Steele,MN,-5.2
22247,27149,Stevens,MN,2.6
22263,27151,Swift,MN,-2.4
22279,27153,Todd,MN,-7.2
22295,27155,Traverse,MN,2.0
22311,27157,Wabasha,MN,-0.4
22327,27159,Wadena,MN,2.2
22343,27161,Waseca,MN,-0.6
22359,27163,Washington,MN,-4.6
22375,27165,Watonwan,MN,-2.2
22391,27167,Wilkin,MN,-3.6
22407,27169,Winona,MN,-2.2
22423,27171,Wright,MN,-4.0
22439,27173,Yellow Medicine,MN,1.0
22455,28001,Adams,MS,-2.0
22471,28003,Alcorn,MS,1.0
22487,28005,Amite,MS,-0.2
22503,28007,Attala,MS,-1.2
22519,28009,Benton,MS,-0.4
22535,28011,Bolivar,MS,-6.8
22551,28013,Calhoun,MS,2.0
22567,28015,Carroll,MS,-6.6
22583,28017,Chickasaw,MS,0.8
22599,28019,Choctaw,MS,1.2
22615,28021,Claiborne,MS,-0.6
22631,28023,Clarke,MS,-8.0
22647,28025,Clay,MS,-13.8
22663,28027,Coahoma,MS,3.8
22679,28029,Copiah,MS,-4.8
22695,28031,Covington,MS,-4.4
22711,28033,Desoto,MS,-4.2
22727,28035,Forrest,MS,-3.6
22743,28037,Franklin,MS,5.0
22759,28039,George,MS,6.4
22775,28041,Greene,MS,-1.4
22791,28043,Grenada,MS,-3.2
22807,28045,Hancock,MS,10.4
22823,28047,Harrison,MS,4.6
22839,28049,Hinds,MS,-9.0
22855,28051,Holmes,MS,0.0
22871,28053,Humphreys,MS,-4.8
22903,28057,Itawamba,MS,4.8
22919,28059,Jackson,MS,2.4
22935,28061,Jasper,MS,0.0
22951,28063,Jefferson,MS,-7.4
22967,28065,Jefferson Davis,MS,0.2
22983,28067,Jones,MS,-3.2
22999,28069,Kemper,MS,-1.2
23015,28071,Lafayette,MS,-5.0
23031,28073,Lamar,MS,-5.2
23047,28075,Lauderdale,MS,-1.2
23063,28077,Lawrence,MS,-7.6
23079,28079,Leake,MS,-3.4
23095,28081,Lee,MS,2.4
23111,28083,Leflore,MS,-9.0
23127,28085,Lincoln,MS,-2.0
23143,28087,Lowndes,MS,-5.8
23159,28089,Madison,MS,-5.6
23175,28091,Marion,MS,5.4
23191,28093,Marshall,MS,0.2
23207,28095,Monroe,MS,1.8
23223,28097,Montgomery,MS,3.8
23239,28099,Neshoba,MS,-0.8
23255,28101,Newton,MS,-0.4
23271,28103,Noxubee,MS,-3.0
23287,28105,Oktibbeha,MS,-5.8
23303,28107,Panola,MS,-0.8
23319,28109,Pearl River,MS,8.0
23335,28111,Perry,MS,0.0
23351,28113,Pike,MS,-1.8
23367,28115,Pontotoc,MS,5.0
23383,28117,Prentiss,MS,-1.6
23399,28119,Quitman,MS,6.6
23415,28121,Rankin,MS,-0.4
23431,28123,Scott,MS,0.0
23447,28125,Sharkey,MS,-7.4
23463,28127,Simpson,MS,-1.6
23479,28129,Smith,MS,-0.4
23495,28131,Stone,MS,1.4
23511,28133,Sunflower,MS,-2.4
23527,28135,Tallahatchie,MS,-1.0
23543,28137,Tate,MS,-2.2
23559,28139,Tippah,MS,-2.4
23575,28141,Tishomingo,MS,3.6
23591,28143,Tunica,MS,-2.0
23607,28145,Union,MS,-6.0
23623,28147,Walthall,MS,3.0
23639,28149,Warren,MS,-1.8
23655,28151,Washington,MS,-4.8
23671,28153,Wayne,MS,-2.2
23687,28155,Webster,MS,0.4
23703,28157,Wilkinson,MS,-3.0
23719,28159,Winston,MS,6.8
23735,28161,Yalobusha,MS,-0.6
23751,28163,Yazoo,MS,2.6
23767,29001,Adair,MO,4.6
23783,29003,Andrew,MO,-7.0
23799,29005,Atchison,MO,-8.4
23815,29007,Audrain,MO,5.2
23831,29009,Barry,MO,1.6
23847,29011,Barton,MO,-5.8
23863,29013,Bates,MO,5.2
23879,29015,Benton,MO,6.2
23895,29017,Bollinger,MO,-2.8
23911,29019,Boone,MO,2.0
23927,29021,Buchanan,MO,-3.2
23943,29023,Butler,MO,1.8
23959,29025,Caldwell,MO,7.8
23975,29027,Callaway,MO,4.4
23991,29029,Camden,MO,3.8
24007,29031,Cape Girardeau,MO,-1.8
24023,29033,Carroll,MO,8.8
24039,29035,Carter,MO,13.6
24055,29037,Cass,MO,-2.8
24071,29039,Cedar,MO,3.4
24087,29041,Chariton,MO,3.6
24103,29043,Christian,MO,2.8
24119,29045,Clark,MO,-2.8
24135,29047,Clay,MO,-2.0
24151,29049,Clinton,MO,5.4
24167,29051,Cole,MO,-1.0
24183,29053,Cooper,MO,2.2
24199,29055,Crawford,MO,10.6
24215,29057,Dade,MO,2.2
24231,29059,Dallas,MO,11.4
24247,29061,Daviess,MO,2.6
24263,29063,Dekalb,MO,-4.6
