,fips,county,st,pred_diff
2779,05127,Scott,AR,8.2
2795,05129,Searcy,AR,11.2
2811,05131,Sebastian,AR,3.2
2827,05133,Sevier,AR,-2.6
2843,05135,Sharp,AR,6.4
2859,05137,Stone,AR,4.0
2875,05139,Union,AR,1.4
2891,05141,Van Buren,AR,2.6
2907,05143,Washington,AR,-5.4
2923,05145,White,AR,-4.0
2939,05147,Woodruff,AR,8.2
2955,05149,Yell,AR,3.2
2971,06001,Alameda,CA,0.0
2987,06003,Alpine,CA,-9.2
3003,06005,Amador,CA,2.0
3019,06007,Butte,CA,3.2
3035,06009,Calaveras,CA,0.0
3051,06011,Colusa,CA,-0.2
3067,06013,Contra Costa,CA,-0.8
3083,06015,Del Norte,CA,0.0
3099,06017,El Dorado,CA,4.4
3115,06019,Fresno,CA,0.2
3131,06021,Glenn,CA,3.4
3147,06023,Humboldt,CA,2.2
3163,06025,Imperial,CA,-4.8
3179,06027,Inyo,CA,2.8
3195,06029,Kern,CA,2.0
3211,06031,Kings,CA,-4.8
3227,06033,Lake,CA,0.2
3243,06035,Lassen,CA,2.8
3259,06037,Los Angeles,CA,2.4
3275,06039,Madera,CA,3.8
3291,06041,Marin,CA,2.2
3307,06043,Mariposa,CA,1.2
3323,06045,Mendocino,CA,5.6
3339,06047,Merced,CA,-1.2
3355,06049,Modoc,CA,2.0
3371,06051,Mono,CA,-6.2
3387,06053,Monterey,CA,2.6
3403,06055,Napa,CA,-0.6
3419,06057,Nevada,CA,4.4
3435,06059,Orange,CA,-0.8
3451,06061,Placer,CA,-2.0
3467,06063,Plumas,CA,0.8
3483,06065,Riverside,CA,1.8
3499,06067,Sacramento,CA,3.2
3515,06069,San Benito,CA,-4.4
3531,06071,San Bernardino,CA,-3.2
3547,06073,San Diego,CA,-0.2
3563,06075,San Francisco,CA,9.8
3579,06077,San Joaquin,CA,1.8
3595,06079,San Luis Obispo,CA,3.4
3611,06081,San Mateo,CA,0.4
3627,06083,Santa Barbara,CA,-0.8
3643,06085,Santa Clara,CA,-3.0
3659,06087,Santa Cruz,CA,0.4
3675,06089,Shasta,CA,3.2
3691,06091,Sierra,CA,5.4
3707,06093,Siskiyou,CA,1.4
3723,06095,Solano,CA,-1.4
3739,06097,Sonoma,CA,-0.8
3755,06099,Stanislaus,CA,1.4
3771,06101,Sutter,CA,0.0
3787,06103,Tehama,CA,-4.4
3803,06105,Trinity,CA,1.4
3819,06107,Tulare,CA,-2.4
3835,06109,Tuolumne,CA,5.8
3851,06111,Ventura,CA,3.6
3867,06113,Yolo,CA,-3.4
3883,06115,Yuba,CA,-5.6
3899,08001,Adams,CO,2.4
3915,08003,Alamosa,CO,2.6
3931,08005,Arapahoe,CO,3.2
3947,08007,Archuleta,CO,9.4
3963,08009,Baca,CO,6.8
3979,08011,Bent,CO,7.0
3995,08013,Boulder,CO,1.4
4007,08014,Broomfield,CO,0.6
4023,08015,Chaffee,CO,2.8
4039,08017,Cheyenne,CO,-10.6
4055,08019,Clear Creek,CO,6.0
4071,08021,Conejos,CO,0.8
4087,08023,Costilla,CO,4.8
4103,08025,Crowley,CO,7.2
4119,08027,Custer,CO,7.2
4135,08029,Delta,CO,7.0
4151,08031,Denver,CO,3.2
4167,08033,Dolores,CO,2.4
4183,08035,Douglas,CO,-3.0
4199,08037,Eagle,CO,-2.4
4215,08039,Elbert,CO,-1.2
4231,08041,El Paso,CO,4.2
4247,08043,Fremont,CO,4.4
4263,08045,Garfield,CO,-2.6
4279,08047,Gilpin,CO,9.6
4295,08049,Grand,CO,-0.8
4311,08051,Gunnison,CO,-4.0
4327,08053,Hinsdale,CO,1.2
4343,08055,Huerfano,CO,7.4
4375,08059,Jefferson,CO,3.0
4391,08061,Kiowa,CO,-1.0
4407,08063,Kit Carson,CO,6.4
4423,08065,Lake,CO,2.0
4439,08067,La Plata,CO,2.2
4455,08069,Larimer,CO,0.8
4471,08071,Las Animas,CO,0.2
4487,08073,Lincoln,CO,1.6
4503,08075,Logan,CO,8.0
4519,08077,Mesa,CO,2.2
4535,08079,Mineral,CO,-11.4
4551,08081,Moffat,CO,-4.6
4567,08083,Montezuma,CO,0.4
4583,08085,Montrose,CO,0.0
4599,08087,Morgan,CO,-3.4
4615,08089,Otero,CO,5.0
4631,08091,Ouray,CO,2.0
4647,08093,Park,CO,-7.4
4663,08095,Phillips,CO,5.0
4679,08097,Pitkin,CO,-1.2
4695,08099,Prowers,CO,0.2
4711,08101,Pueblo,CO,5.6
4727,08103,Rio Blanco,CO,-3.2
4743,08105,Rio Grande,CO,0.8
4759,08107,Routt,CO,-0.6
4775,08109,Saguache,CO,1.8
4807,08113,San Miguel,CO,6.2
4823,08115,Sedgwick,CO,12.8
4839,08117,Summit,CO,-4.0
4855,08119,Teller,CO,-1.0
4871,08121,Washington,CO,-1.0
4887,08123,Weld,CO,-1.0
4903,08125,Yuma,CO,1.2
4919,09001,Fairfield,CT,0.2
4935,09003,Hartford,CT,1.8
4951,09005,Litchfield,CT,6.0
4967,09007,Middlesex,CT,1.6
4983,09009,New Haven,CT,3.0
4999,19093,Ida,IA,4.2
5015,09011,New London,CT,3.0
5031,09013,Tolland,CT,-1.6
5047,09015,Windham,CT,5.8
5063,10001,Kent,DE,0.0
5079,10003,New Castle,DE,4.0
5095,10005,Sussex,DE,-1.6
5111,11001,District Of Columbia,DC,8.6
5127,12001,Alachua,FL,1.0
5143,12003,Baker,FL,13.0
5159,12005,Bay,FL,6.8
5175,12007,Bradford,FL,7.6
5191,12009,Brevard,FL,2.8
5207,12011,Broward,FL,0.6
5223,12013,Calhoun,FL,5.0
5239,12015,Charlotte,FL,-1.2
5255,12017,Citrus,FL,6.0
5271,12019,Clay,FL,5.4
5287,12021,Collier,FL,4.2
5303,12023,Columbia,FL,2.0
5319,12027,Desoto,FL,0.0
5335,12029,Dixie,FL,10.8
5351,12031,Duval,FL,2.4
5367,12033,Escambia,FL,1.4
5383,12035,Flagler,FL,2.0
5399,12037,Franklin,FL,13.4
5415,12039,Gadsden,FL,-3.0
5431,12041,Gilchrist,FL,5.2
5447,12043,Glades,FL,5.4
5463,12045,Gulf,FL,3.4
5479,12047,Hamilton,FL,4.8
5495,12049,Hardee,FL,-0.2
5511,12051,Hendry,FL,5.4
5527,12053,Hernando,FL,4.2
5543,12055,Highlands,FL,6.4
5559,12057,Hillscounty,FL,1.8
5575,12059,Holmes,FL,3.8
5591,12061,Indian River,FL,9.2
5607,12063,Jackson,FL,-5.0
5623,12065,Jefferson,FL,-4.6
5639,12067,Lafayette,FL,9.6
5655,12069,Lake,FL,-1.0
5671,12071,Lee,FL,6.2
5687,12073,Leon,FL,-4.2
5703,12075,Levy,FL,11.2
5719,12077,Liberty,FL,-4.8
5735,12079,Madison,FL,-2.2
5751,12081,Manatee,FL,4.4
5767,12083,Marion,FL,2.4
5783,12085,Martin,FL,4.6
5799,12086,Miami-Dade,FL,-2.4
5815,12087,Monroe,FL,6.0
5831,12089,Nassau,FL,6.4
5847,12091,Okaloosa,FL,2.2
5863,12093,Okeechobee,FL,7.6
5879,12095,Orange,FL,0.6
5895,12097,Osceola,FL,0.4
5911,12099,Palm Beach,FL,1.6
5927,12101,Pasco,FL,1.6
5943,12103,Pinellas,FL,2.0
5959,12105,Polk,FL,2.4
5975,12107,Putnam,FL,1.4
5991,12109,St Johns,FL,0.2
6007,12111,St Lucie,FL,6.4
6023,12113,Santa Rosa,FL,4.6
6039,12115,Sarasota,FL,5.0
6055,12117,Seminole,FL,3.0
6071,12119,Sumter,FL,3.0
6087,12121,Suwannee,FL,7.6
6103,12123,Taylor,FL,1.8
6119,12125,Union,FL,0.6
6135,12127,Volusia,FL,5.4
6151,12129,Wakulla,FL,0.4
6167,12131,Walton,FL,3.4
6183,12133,Washington,FL,3.2
6199,13001,Appling,GA,4.2
6215,13003,Atkinson,GA,-1.8
6231,13005,Bacon,GA,2.2
6247,13007,Baker,GA,-4.6
6263,13009,Baldwin,GA,-5.8
6279,13011,Banks,GA,4.0
6295,13013,Barrow,GA,6.2
6311,13015,Bartow,GA,2.0
6327,13017,Ben Hill,GA,-8.2
6343,13019,Berrien,GA,0.0
6359,13021,Bibb,GA,-1.2
6375,13023,Bleckley,GA,6.2
6391,13025,Brantley,GA,9.4
6407,13027,Brooks,GA,-10.0
6423,13029,Bryan,GA,-9.8
6439,13031,Bulloch,GA,-0.6
6455,13033,Burke,GA,-2.2
6471,13035,Butts,GA,-3.4
6487,13037,Calhoun,GA,-3.4
6503,13039,Camden,GA,-2.2
6519,13043,Candler,GA,-0.6
6535,13045,Carroll,GA,2.8
6551,13047,Catoosa,GA,7.0
6567,13049,Charlton,GA,0.2
6583,13051,Chatham,GA,-2.8
6599,13053,Chattahoochee,GA,2.0
6615,13055,Chattooga,GA,1.0
6631,13057,Cherokee,GA,-1.8
6647,13059,Clarke,GA,-3.8
6663,13061,Clay,GA,-3.4
6679,13063,Clayton,GA,-3.0
6695,13065,Clinch,GA,-3.4
6711,13067,Cobb,GA,-1.4
6727,13069,Coffee,GA,-4.2
6743,13071,Colquitt,GA,-2.6
6759,13073,Columbia,GA,-5.2
6775,13075,Cook,GA,0.6
6791,13077,Coweta,GA,-1.2
6807,13079,Crawford,GA,-2.2
6823,13081,Crisp,GA,-1.0
6839,13083,Dade,GA,5.6
6855,13085,Dawson,GA,3.0
6871,13087,Decatur,GA,-3.0
6887,13089,Dekalb,GA,-1.6
6903,13091,Dodge,GA,4.6
6919,13093,Dooly,GA,0.2
6935,13095,Dougherty,GA,-6.6
6951,13097,Douglas,GA,1.4
6967,13099,Early,GA,-2.4
6999,13103,Effingham,GA,-4.0
7015,13105,Elbert,GA,2.2
7031,13107,Emanuel,GA,0.2
7047,13109,Evans,GA,3.0
7063,13111,Fannin,GA,7.8
7079,13113,Fayette,GA,1.0
7095,13115,Floyd,GA,5.6
7111,13117,Forsyth,GA,-0.8
7127,13119,Franklin,GA,9.8
7143,13121,Fulton,GA,-0.2
7159,13123,Gilmer,GA,5.2
7191,13127,Glynn,GA,-1.6
7207,13129,Gordon,GA,4.2
7223,13131,Grady,GA,-3.8
7239,13133,Greene,GA,-2.6
7255,13135,Gwinnett,GA,-2.0
7271,13137,Habersham,GA,2.2
7287,13139,Hall,GA,-0.6
7303,13141,Hancock,GA,-3.6
7319,13143,Haralson,GA,8.4
7335,13145,Harris,GA,-2.0
7351,13147,Hart,GA,6.4
7367,13149,Heard,GA,2.6
7383,13151,Henry,GA,-0.4
7399,13153,Houston,GA,-5.4
7415,13155,Irwin,GA,3.8
7431,13157,Jackson,GA,5.8
7447,13159,Jasper,GA,1.2
7463,13161,Jeff Davis,GA,8.6
7479,13163,Jefferson,GA,-4.0
7495,13165,Jenkins,GA,7.8
7511,13167,Johnson,GA,3.4
7527,13169,Jones,GA,-3.6
7543,13171,Lamar,GA,6.8
7559,13173,Lanier,GA,-2.6
7575,13175,Laurens,GA,-0.8
7591,13177,Lee,GA,-5.4
7607,13179,Liberty,GA,-2.6
